Short	Familly	Species	Isolate	Genome_File	RAST_file	Type	Source	Genome_Folder
seq79	RH_AL1	NA	NA	GCA_964657815.1_Boreal_Moss_Metagenome_Coassembled_MAG_Green_R_1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425231.txt	Metagenomics	Moss	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Moss-Metagenomes/
seq80	Methylobacteriaceae	Methylobacterium_sp	NA	GCA_964658355.1_Boreal_Moss_Metagenome_Coassembled_MAG_Green_AP_3_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425232.txt	Metagenomics	Moss	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Moss-Metagenomes/
seq81	RH_AL1	NA	NA	GCA_964658465.1_Boreal_Moss_Metagenome_Coassembled_MAG_Green_AP_4_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425233.txt	Metagenomics	Moss	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Moss-Metagenomes/
seq28	Methylobacteriaceae	Methylobacterium_sp	abba_bin.3.orig	abba_bin.3.orig.fa	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1414565.txt	Metagenomics	Phyllosphere	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Leaves-UQAM/
seq37	Methylobacteriaceae	Methylobacterium_sp	thoc_bin.37.orig	thoc_bin.37.orig.fa	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1414604.txt	Metagenomics	Phyllosphere	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Leaves-UQAM/
seq38	Methylobacteriaceae	Enterovirga_sp	thoc_bin.47.orig	thoc_bin.47.orig.fa	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1414608.txt	Metagenomics	Phyllosphere	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Leaves-UQAM/
seq39	Methylobacteriaceae	Methylobacterium_sp	abba_bin.1.orig	abba_bin.1.orig.fa	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1414764.txt	Metagenomics	Phyllosphere	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Leaves-UQAM/
seq46	Methylobacteriaceae	Methylobacterium_sp	thoc_bin.18.orig	thoc_bin.18.orig.fa	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1415144.txt	Metagenomics	Phyllosphere	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Leaves-UQAM/
seq63	RH_AL1	NA	NA	GCA_964657435.1_Boreal_Moss_Metagenome_Coassembled_MAG_Green_K_3_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425229.txt	Metagenomics	Moss	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Moss-Metagenomes/
seq35	RH_AL1	NA	coco_bin.33.orig	coco_bin.33.orig.fa	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1414598.txt	Metagenomics	Phyllosphere	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Leaves-UQAM/
seq41	RH_AL1	NA	abba_bin.44.orig	abba_bin.44.orig.fa	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1414773.txt	Metagenomics	Phyllosphere	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Leaves-UQAM/
seq44	RH_AL1	NA	acsa_bin.7.orig	acsa_bin.7.orig.fa	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1415135.txt	Metagenomics	Phyllosphere	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Leaves-UQAM/
seq45	RH_AL1	NA	fagr_bin.7.orig	fagr_bin.7.orig.fa	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1415141.txt	Metagenomics	Phyllosphere	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Leaves-UQAM/
seq47	RH_AL1	NA	thoc_bin.20.orig	thoc_bin.20.orig.fa	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1415147.txt	Metagenomics	Phyllosphere	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Leaves-UQAM/
seq64	RH_AL1	NA	NA	GCA_964235705.1_private_VT26_metawrap_bin.1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425128.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Beijerinckiaceae/
seq65	RH_AL1	NA	NA	GCA_964235845.1_private_VT2_metawrap_bin.4_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425129.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Beijerinckiaceae/
seq66	RH_AL1	NA	NA	GCA_964243415.1_private_T1916_metawrap_bin.9_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425130.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Beijerinckiaceae/
seq67	RH_AL1	NA	NA	GCA_964243425.1_private_T1916_metawrap_bin.12_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425131.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Beijerinckiaceae/
seq68	RH_AL1	NA	NA	GCA_964243435.1_private_T1916_metawrap_bin.5_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425132.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Beijerinckiaceae/
seq69	RH_AL1	NA	NA	GCA_964244275.1_public_SRR11456919_metawrap_bin.7_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425133.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Beijerinckiaceae/
seq70	RH_AL1	NA	NA	GCA_964244495.1_private_TS1974_metawrap_bin.3_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425134.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Beijerinckiaceae/
seq72	RH_AL1	NA	NA	GCA_964245015.1_public_SRR13685165_metawrap_bin.1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425136.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Beijerinckiaceae/
seq73	RH_AL1	NA	NA	GCA_964246205.1_public_SRR14722129_metawrap_bin.1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425137.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Beijerinckiaceae/
seq74	RH_AL1	NA	NA	GCA_964246855.1_public_SRR14722022_metawrap_bin.1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425138.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Beijerinckiaceae/
seq76	RH_AL1	NA	NA	GCA_964247745.1_private_T1894_metawrap_bin.9_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425142.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Beijerinckiaceae/
seq77	RH_AL1	NA	NA	GCA_964249355.1_public_SRR14722170_metawrap_bin.3_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425143.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Beijerinckiaceae/
seq78	RH_AL1	NA	NA	GCA_964250285.1_public_SRR14722301_metawrap_bin.5_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425144.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Beijerinckiaceae/
seq75	Rhabdaerophilaceae	NA	NA	GCA_964247205.1_public_SRR11456922_metawrap_bin.5_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425139.txt	Metagenomics	Lichen	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Metagenomes-Beijerinckiaceae/
